stations	x	y	yield	01_04_2015	02_04_2015	03_04_2015	01_05_2015	02_05_2015	03_05_2015	01_06_2015	02_06_2015	03_06_2015	01_07_2015	02_07_2015	03_07_2015	01_08_2015	02_08_2015	03_08_2015	01_09_2015	02_09_2015	03_09_2015	01_10_2015
2451047	469.5625105	7310.31145	4.8	2.1	0	64.7	104.4	0	38.4	0	70.7	14.7	183.1	263.4	27.3	0	7.5	39.6	88.3	0	91.1	93.1
2451049	425.8128171	7333.401782	4.8	2.7	4.6	87.1	94.2	0	33.8	0	43.7	8.9	190.1	232.1	16.9	0	7.3	47.4	149.4	0	89.2	89.5
2451051	466.5847151	7282.624158	4.46	3.4	5.2	55.5	99.9	16	30	17.3	29.5	28.3	164.2	254.1	0	0	5.1	24.1	110.3	0	94.2	132
2452000	328.0915117	7261.666009	4.96	10.3	17.3	39.4	124.4	1.4	126.3	0.3	36.6	11.6	152	248.6	36.1	0	7.6	33.6	98.2	0	84.4	73.7
2452001	304.6252476	7275.756841	7	0	43.6	45.4	103.5	0	62.2	0	25.7	16.8	232	122.7	10.5	0	4.5	0	97.3	0	96.5	52.1
2452007	360.7007919	7339.558957	4.8	24.1	9.3	76.6	61.1	79.9	161.1	0	81.8	9.5	289.2	173.2	14.8	0	0	35.6	83.8	10.9	92.9	73.2
2452008	388.4793809	7298.829724	5	0	18.1	33.7	119.4	0	81.6	0	84.5	0	223.6	187.8	0	0	7.5	38.9	106.9	0	134.6	232.1
2452009	299.4190869	7285.653772	6.5	8.5	41.7	60.5	108	0	74.9	0	77.1	17.1	176	150	10.9	0	6.3	44.4	77.2	0	100.9	43.2
2452010	320.1335276	7330.244516	4.2	14.1	27.1	80.3	127.2	1.6	96.8	0.9	59.6	12.6	129.8	151.7	10.6	0	0	21.6	65.7	0	72.6	41
2452011	317.759164	7278.150575	7	5.2	33.6	26.7	97.6	0	82.9	0	39.4	17.1	188.5	113.3	11.9	0	7.2	50.9	69	0	89.6	55.6
2452012	328.1603879	7256.128155	4.96	0	57.4	11	112.8	0	64.7	0	81.2	21	274.3	43.5	57.2	0.5	9.2	45.1	65.6	0	66.8	66.2
2452014	345.7234459	7313.931392	5.7	12.8	22.2	9.8	157.7	0	102.2	0	74.9	15.5	266.7	220	9.8	0	7.5	44.8	93.9	0	192	64.7
2452015	371.425955	7278.749246	4.4	3.7	20	3.7	122.7	0	130.6	1.3	79.5	13.7	185.8	198	32.4	0	9	54.4	124.6	0.9	149.4	55.6
2452016	378.7852369	7247.805479	4.2	6.3	20.4	0	122.8	0	160.8	0	101.8	12.8	175.9	185.2	7.9	0	9.2	59.2	163	42.8	130.3	61.4
2452019	351.5203391	7246.430533	4.6	1.5	42.7	0	42.1	56.8	172.4	4.7	87	16.8	192.2	145	0	0	0	60.1	49.3	9.8	63.6	28.4
